,id,pais_id
0,CALEG,BRA
1,CANTO,CHL
2,CAREN,CHL
3,CASUN,PRY
4,CATLA,USA
5,CBARC,ESP
6,CBEIJ,CHN
7,CBELO,BRA
8,CBONN,DEU
9,CCADI,ESP
10,CCEST,PRY
11,CCHIC,USA
12,CCOCH,BOL
13,CCOLO,URY
14,CCONC,CHL
15,CCURI,BRA
16,CENCA,PRY
17,CFBEN,URY
18,CFDIG,BRA
19,CFLOR,BRA
20,CFRAN,DEU
21,CGEST,TUR
22,CGMUM,IND
23,CGPAZ,BOL
24,CGTEL,ISR
25,CGUAN,CHN
26,CGUAY,ECU
27,CGVAN,CAN
28,CHAMB,DEU
29,CHONG,CHN
30,CHOUS,USA
31,CJOHA,ZAF
32,CLANG,USA
33,CLIMA,PER
34,CLOND,GRB
35,CMADR,ESP
36,CMALD,URY
37,CMALL,ESP
38,CMDEO,URY
39,CMEXI,MEX
40,CMIAM,USA
41,CMILA,ITA
42,CMREA,CAN
43,CNYOR,USA
44,CPABL,BRA
45,CPAYS,URY
46,CPCAR,MEX
47,CPMON,CHL
48,CRECI,BRA
49,CRIOJ,BRA
50,CROMA,ITA
51,CSBAH,BRA
52,CSCRS,BOL
53,CSHAN,CHN
54,CSIDN,AUS
55,CSIGO,CHL
56,CSLTO,URY
57,CTARI,BOL
58,CTENE,ESP
59,CTORO,CAN
60,CURUG,BRA
61,CVALP,CHL
62,CVIGO,ESP
63,CVILL,BOL
64,CYACU,BOL
65,DIGAC,ARG
66,EALEM,DEU
67,EANGO,AGO
68,EARAB,SAU
69,EARGE,DZA
70,EARME,ARM
71,EASIR,SYR
72,EAUST,AUS
73,EAZER,AZE
74,EBANG,BGD
75,EBARB,BRB
76,EBELG,BEL
77,EBOLV,BOL
78,EBRAS,BRA
79,EBULG,BGR
80,ECANA,CAN
81,ECEUR,BEL
82,ECHES,CZE
83,ECHIN,CHN
84,ECOLO,COL
85,ECORE,KOR
86,ECUBA,CUB
87,EDINA,DNK
88,EDOMI,DOM
89,EEARB,ARE
90,EECUA,ECU
91,EEEUU,USA
92,EEGIP,EGY
93,EEOEA,USA
94,EESPA,ESP
95,EETIO,ETH
96,EFILI,PHL
97,EFINL,FIN
98,EFRAN,FRA
99,EFRUS,RUS
100,EGREC,GRC
101,EGUAT,GTM
102,EGUYA,GUY
103,EHAIT,HTI
104,EHILE,CHL
105,EHOND,HND
106,EINDI,IND
107,EIRAN,IRN
108,EIRLA,IRL
109,EISIA,IDN
110,EISRA,ISR
111,EITAL,ITA
112,EJAMA,JAM
113,EJAPO,JPN
114,EKENY,KEN
115,EKUWA,KWT
116,ELBIA,LBY
117,ELBNO,LBN
118,EMARR,MAR
119,EMEXI,MEX
120,EMFAO,ITA
121,EMOZA,MOZ
122,EMSIA,MYS
123,EMSUR,URY
124,ENAUN,USA
125,ENICA,NIC
126,ENIGE,NGA
127,ENORU,NOR
128,ENZEL,NZL
129,EOIRS,CHE
130,EPAKI,PAK
131,EPARA,PRY
132,EPBAJ,NLD
133,EPERU,PER
134,EPNMA,PAN
135,EPOLO,POL
136,EPORT,PRT
137,EQATR,QAT
138,ERICA,CRI
139,ERUMA,ROU
140,ERUNI,GRB
141,ESAFR,ZAF
142,ESALV,SLV
143,ESENE,SEN
144,ESERB,SRB
145,ESING,SGP
146,ESSED,VAT
147,ESUEC,SWE
148,ESUIZ,CHE
149,ESURI,SUR
150,ETAIL,THA
151,ETRIA,AUT
152,ETRIN,TTO
153,ETUNE,TUN
154,ETURQ,TUR
155,EUCRA,UKR
156,EUNES,FRA
157,EUNGR,HUN
158,EURUG,URY
159,EVENE,VEN
160,EVIET,VNM
161,REPAL,PSE
